language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave,corpus
9,KEN_009,0.94162673906385,-0.965950279532254,0.0219085099119278,0.0152447714920718,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_010,0.940086976215715,-0.962604280217632,0.0209344432534861,0.0130977359742459,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_011,0.940582322748361,-0.963524246171987,0.0195955345809419,0.0146334127233416,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
2,KRS_001,0.933026967092567,-0.968377598453423,0.0193584225087619,0.0157478275135703,KRS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
6,LAN_001,0.945345285871668,-0.968331949361384,0.024564512146291,0.0169496236777427,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
6,LAN_002,0.945402192961475,-0.969724818474794,0.0244992767667785,0.0186578230934803,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
6,LAN_003,0.941926611296079,-0.967289527048473,0.022178118934182,0.0151369095492735,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
6,LAN_004,0.948633400558034,-0.964263031360971,0.0275759211054691,0.0162723607729596,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
6,LAN_005,0.948211278754136,-0.9633286936171,0.0271756922485129,0.0145584434353583,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
6,LAN_006,0.948071009164398,-0.964177846641951,0.0302793398892261,0.0162872917527385,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
